Country,Country Code,Region,Year,Output-side real GDP,Average annual hours,Number of persons engaged,Productivity,CPI score,Life Expectancy,Health Care Index,Crime Rate,Quality of Life Index,Development,Human Capital Index
Singapore,SGP,AP,2019,477907.875,2330.165875,3.759603739,54.55257767,85,83.62,70.3,21.47,156.91,MDC,4.351568
Slovakia,SVK,WE/EU,2019,149921.4375,1694.940165,2.468860865,35.82719033,50,77.542,60.06,29.54,153.1,MDC,3.849036
Slovenia,SVN,WE/EU,2019,70868.51563,1592.933904,1.046805859,42.50004951,60,81.324,62.81,22.57,175.98,MDC,3.574908
Sweden,SWE,WE/EU,2019,526240.8125,1605.276602,5.002136707,65.53587379,85,82.797,70.95,49.35,178.67,MDC,3.435986
Thailand,THA,AP,2019,1191732.875,2092.9901,37.5409584,15.1672341,36,77.15,79.06,46.66,103.26,LDC,2.804449
Turkey,TUR,ECA,2019,2248225.75,1832,28.08733368,43.69220218,39,77.691,69.36,40.38,125.51,LDC,2.514292
Taiwan,TWN,AP,2019,1103379.75,2085.135333,11.5,46.01431078,65,80.456,86.22,17.38,133.82,MDC,3.357651
United States,USA,AME,2019,20595844,1765.34639,158.2995911,73.70040373,69,78.862,69.41,47.13,179.2,MDC,3.749341
Viet Nam,VNM,AP,2019,724123.375,2131.968232,50.39956284,6.739149154,37,75.4,54.54,48.78,88.82,LDC,2.869998
South Africa,ZAF,SSA,2019,734094.375,2191.363362,18.64270973,17.96918841,44,64.131,62.56,76.8,135.31,LDC,2.908202
